,Name,B/T,B,T
748,Donovan Solano,R/R,R,R
749,Byron Buxton,R/R,R,R
750,Willi Castro,S/R,S,R
751,Max Kepler,L/L,L,L
752,Trevor Larnach,L/R,L,R
753,Michael A. Taylor,R/R,R,R
754,WHITESOX,WHITESOX,WHITESOX,
755,Tanner Banks,R/L,R,L
756,Aaron Bummer,L/L,L,L
757,Dylan Cease,R/R,R,R
758,Mike Clevinger,R/R,R,R
759,Jake Diekman,R/L,R,L
760,Kendall Graveman,R/R,R,R
761,Joe Kelly,R/R,R,R
762,Michael Kopech,R/R,R,R
763,Jimmy Lambert,R/R,R,R
764,Reynaldo Lopez,R/R,R,R
765,Lance Lynn,S/R,S,R
766,Keynan Middleton,R/R,R,R
767,Gregory Santos,R/R,R,R
768,Yasmani Grandal,S/R,S,R
769,Seby Zavala,R/R,R,R
770,Elvis Andrus,R/R,R,R
771,Jake Burger,R/R,R,R
772,Gavin Sheets,L/L,L,L
773,Lenyn Sosa,R/R,R,R
774,Andrew Vaughn,R/R,R,R
775,Andrew Benintendi,L/L,L,L
776,Oscar Colas,L/L,L,L
777,Romy Gonzalez,R/R,R,R
778,Adam Haseley,L/L,L,L
779,Luis Robert Jr.,R/R,R,R
780,Eloy Jimenez,R/R,R,R
781,YANKEES,YANKEES,YANKEES,
782,Albert Abreu,R/R,R,R
783,Jhony Brito,R/R,R,R
784,Gerrit Cole,R/R,R,R
785,Jimmy Cordero,R/R,R,R
786,Nestor Cortes,R/L,R,L
787,Domingo German,R/R,R,R
788,Ian Hamilton,R/R,R,R
789,Clay Holmes,R/R,R,R
790,Michael King,R/R,R,R
791,Ron Marinaccio,R/R,R,R
792,Wandy Peralta,L/L,L,L
793,Nick Ramirez,L/L,L,L
794,Clarke Schmidt,R/R,R,R
795,Kyle Higashioka,R/R,R,R
796,Jose Trevino,R/R,R,R
797,DJ LeMahieu,R/R,R,R
798,Oswald Peraza,R/R,R,R
799,Anthony Rizzo,L/L,L,L
800,Gleyber Torres,R/R,R,R
801,Anthony Volpe,R/R,R,R
802,Oswaldo Cabrera,S/R,S,R
803,Willie Calhoun,L/R,L,R
804,Franchy Cordero,L/R,L,R
805,Aaron Hicks,S/R,S,R
806,Aaron Judge,R/R,R,R
807,Isiah Kiner-Falefa,R/R,R,R
